Timestamp(ms),Current(uA)
16091.38,14080.170
16091.39,13658.230
16091.4,13470.913
16091.41,13143.421
16091.42,12909.741
16091.43,12629.594
16091.44,12536.276
16091.45,12349.738
16091.46,12256.519
16091.47,12070.176
16091.48,11883.964
16091.49,11651.381
16091.5,11558.404
16091.51,11697.881
16091.52,15632.910
16091.53,15963.417
16091.54,15868.945
16091.55,15208.559
16091.56,14690.800
16091.57,14643.779
16091.58,14267.910
16091.59,13845.678
16091.6,13751.938
16091.61,13424.104
16091.62,13190.181
16091.63,13096.669
16091.64,12722.943
16091.65,12629.594
16091.66,12489.630
16091.67,12303.125
16091.68,12070.176
16091.69,11883.964
16091.7,11604.888
16091.71,11651.381
16091.72,11558.404
16091.73,11372.549
16091.74,11326.105
16091.75,11140.413
16091.76,11094.010
16091.77,13003.188
16091.78,15680.101
16091.79,15585.728
16091.8,15161.449
16091.81,14878.962
16091.82,14502.768
16091.83,14314.865
16091.84,14127.093
16091.85,13845.678
16091.86,13611.390
16091.87,13330.511
16091.88,13049.925
16091.89,12816.326
16091.9,12629.594
16091.91,12442.991
16091.92,14455.779
16091.93,16530.926
16091.94,16294.321
16091.95,15916.177
16091.96,15585.728
16091.97,15302.802
16091.98,14690.800
16091.99,14549.764
16092,14267.910
16092.01,14127.093
16092.02,13658.230
16092.03,13611.390
16092.04,13236.949
16092.05,13143.421
16092.06,12769.631
16092.07,12489.630
16092.08,12396.361
16092.09,12163.331
16092.1,12023.610
16092.11,11977.054
16092.12,11883.964
16092.13,11697.881
16092.14,11511.928
16092.15,11326.105
16092.16,14926.022
16092.17,15821.723
16092.18,15585.728
16092.19,15444.229
16092.2,14973.092
16092.21,14596.768
16092.22,14408.800
16092.23,14174.023
16092.24,13798.804
16092.25,13470.913
16092.26,13283.727
16092.27,13096.669
16092.28,12956.461
16092.29,12722.943
16092.3,12536.276
16092.31,12256.519
16092.32,12256.519
16092.33,12023.610
16092.34,11837.431
16092.35,11697.881
16092.36,11558.404
16092.37,11372.549
16092.38,11279.670
16092.39,11140.413
16092.4,10862.117
16092.41,13658.230
16092.42,15680.101
16092.43,15585.728
16092.44,15444.229
16092.45,14878.962
16092.46,14502.768
16092.47,14361.828
16092.48,13939.450
16092.49,13705.080
16092.5,13283.727
16092.51,13236.949
16092.52,13096.669
16092.53,12863.029
16092.54,12676.265
16092.55,12396.361
16092.56,12349.738
16092.57,12023.610
16092.58,11930.504
16092.59,11790.906
16092.6,11558.404
16092.61,11604.888
16092.62,11326.105
16092.63,11279.670
16092.64,11233.243
16092.65,14549.764
16092.66,15868.945
16092.67,15680.101
16092.68,15208.559
16092.69,15161.449
16092.7,14784.864
16092.71,14314.865
16092.72,14127.093
16092.73,13986.349
16092.74,13564.556
16092.75,13190.181
16092.76,13190.181
16092.77,12816.326
16092.78,12722.943
16092.79,15538.553
16092.8,16767.732
16092.81,16388.938
